[2024-07-23 21:06:25.955]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:06:25.967]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:06:25.991]	 Installing "tmux-menus"
[2024-07-23 21:06:26.610]	   "tmux-menus" download success
[2024-07-23 21:06:26.631]	 Done.

[2024-07-23 21:06:32.704]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:06:32.716]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:06:32.742]	 Already installed "tmux-menus"
[2024-07-23 21:06:32.754]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:06:33.070]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:06:33.083]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:06:33.112]	 Already installed "tmux-menus"
[2024-07-23 21:06:33.125]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:06:32.766]	 Updating all plugins!
[2024-07-23 21:06:32.766]	 
[2024-07-23 21:06:33.195]	   "tmux-menus" update success
[2024-07-23 21:06:33.197]	     | Already up to date.
[2024-07-23 21:06:33.211]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:06:33.246]	 Done.

[2024-07-23 21:06:33.139]	 Updating all plugins!
[2024-07-23 21:06:33.139]	 
[2024-07-23 21:06:33.539]	   "tmux-menus" update success
[2024-07-23 21:06:33.542]	     | Already up to date.
[2024-07-23 21:06:33.557]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:06:33.580]	 Removing "tmux-menus"
[2024-07-23 21:06:33.583]	   "tmux-menus" clean success
[2024-07-23 21:06:33.598]	 Done.

[2024-07-23 21:06:40.411]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:06:40.423]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:06:40.449]	 Installing "tmux-menus"
[2024-07-23 21:06:41.098]	   "tmux-menus" download success
[2024-07-23 21:06:41.113]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:06:41.125]	 Updating all plugins!
[2024-07-23 21:06:41.125]	 
[2024-07-23 21:06:41.547]	   "tmux-menus" update success
[2024-07-23 21:06:41.550]	     | Already up to date.
[2024-07-23 21:06:41.575]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:06:41.615]	 Done.

[2024-07-23 21:06:43.132]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:06:43.143]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:06:43.169]	 Already installed "tmux-menus"
[2024-07-23 21:06:43.181]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:06:43.193]	 Updating all plugins!
[2024-07-23 21:06:43.193]	 
[2024-07-23 21:06:43.677]	   "tmux-menus" update success
[2024-07-23 21:06:43.684]	     | Already up to date.
[2024-07-23 21:06:43.731]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:06:43.775]	 Done.

[2024-07-23 21:06:51.765]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:06:51.776]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:06:51.803]	 Already installed "tmux-menus"
[2024-07-23 21:06:51.819]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:06:51.833]	 Updating all plugins!
[2024-07-23 21:06:51.833]	 
[2024-07-23 21:06:52.276]	   "tmux-menus" update success
[2024-07-23 21:06:52.278]	     | Already up to date.
[2024-07-23 21:06:52.301]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:06:52.339]	 Done.

[2024-07-23 21:13:08.574]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:13:08.586]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:13:08.612]	 Already installed "tmux-menus"
[2024-07-23 21:13:08.624]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:13:08.637]	 Updating all plugins!
[2024-07-23 21:13:08.637]	 
[2024-07-23 21:13:09.074]	   "tmux-menus" update success
[2024-07-23 21:13:09.075]	     | Already up to date.
[2024-07-23 21:13:09.087]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:13:09.122]	 Done.

[2024-07-23 21:14:53.189]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:14:53.203]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:14:53.237]	 Already installed "tmux-menus"
[2024-07-23 21:14:53.251]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:14:53.263]	 Updating all plugins!
[2024-07-23 21:14:53.263]	 
[2024-07-23 21:14:53.785]	   "tmux-menus" update success
[2024-07-23 21:14:53.792]	     | Already up to date.
[2024-07-23 21:14:53.838]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:14:53.894]	 Done.

[2024-07-23 21:17:15.324]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:17:15.336]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:17:15.362]	 Already installed "tmux-menus"
[2024-07-23 21:17:15.375]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:17:15.387]	 Updating all plugins!
[2024-07-23 21:17:15.387]	 
[2024-07-23 21:17:15.807]	   "tmux-menus" update success
[2024-07-23 21:17:15.809]	     | Already up to date.
[2024-07-23 21:17:15.835]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:17:15.874]	 Done.

[2024-07-23 21:24:42.106]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:24:42.118]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:24:42.144]	 Already installed "tmux-menus"
[2024-07-23 21:24:42.158]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:24:42.171]	 Updating all plugins!
[2024-07-23 21:24:42.172]	 
[2024-07-23 21:24:42.617]	   "tmux-menus" update success
[2024-07-23 21:24:42.619]	     | Already up to date.
[2024-07-23 21:24:42.634]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:24:42.670]	 Done.

[2024-07-23 21:25:58.880]	 List of discovered tpm plugins: jaclu/tmux-menus
